Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
24-MAY-2024,6735.35,6823.7,6720.3,6774.15,262463030,9662.43
27-MAY-2024,6844.15,6844.75,6656.15,6710.1,254190774,8385.36
28-MAY-2024,6744.9,6744.9,6576.8,6602.35,202324487,5367.27
29-MAY-2024,6549.75,6648.45,6524.15,6627.1,233537547,7111.69
30-MAY-2024,6617.85,6633.95,6484.7,6513.65,237093643,6244.95
31-MAY-2024,6565.25,6612.65,6476.55,6587.9,824021178,13871.16
03-JUN-2024,7062.5,7105.55,6877.85,7059.8,477269908,12080.39
04-JUN-2024,7028.7,7028.7,5679.55,5997.85,980663796,22572.95
05-JUN-2024,6138,6165.5,5732.8,6128.25,575082882,13498.66
06-JUN-2024,6262.35,6458,6236.4,6309,382121086,9656.07
07-JUN-2024,6317.75,6482.8,6262.8,6474.9,282879319,7043.63
