Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-DEC-2023,12515.95,12551.45,12366.1,12508.05,541491724,10064.33
06-DEC-2023,12566.8,12600.8,12486.75,12549.4,419987788,8766.66
07-DEC-2023,12570.7,12647.25,12494.5,12631.2,525958265,9228.95
08-DEC-2023,12683.5,12711.85,12512.35,12624.2,492435217,9459.01
11-DEC-2023,12650.55,12696.5,12622.6,12684.7,505470530,8283.14
12-DEC-2023,12724.35,12748.5,12581.4,12650.35,453555496,8878.3
13-DEC-2023,12694.9,12827.2,12657.7,12815.55,673523710,10987.66
14-DEC-2023,12904.2,13023.35,12890.4,13000.7,859428396,13801.66
15-DEC-2023,13066.5,13072.5,12996.9,13029.35,701919139,14054.13
18-DEC-2023,13049.65,13081.8,12963.75,13039.1,648060155,9592.77
19-DEC-2023,13063.65,13071.25,12905.4,12977.65,512648655,8192.3
20-DEC-2023,13044.15,13117,12504.1,12560,810190116,12708.39
21-DEC-2023,12459.4,12785.75,12385.9,12764.85,581656489,9368.71
22-DEC-2023,12836.8,12881.1,12744.95,12838.2,456843741,9412.42
26-DEC-2023,12877.2,12950.35,12827.55,12905.6,530258335,7685.99
27-DEC-2023,12961.9,13016.9,12874.25,12946.5,384722799,7961.82
28-DEC-2023,12995.15,13078.05,12947.95,13066.25,564859552,12387.09
29-DEC-2023,13102.75,13162.2,13037.55,13144.95,2013399512,12075.45
01-JAN-2024,13185.8,13265.7,13147.9,13225.4,2046995081,11049.11
02-JAN-2024,13261.45,13271.4,13046.35,13198.35,1420654093,12722.39
03-JAN-2024,13207.95,13274.4,13108.55,13226.1,871887299,10291.27
04-JAN-2024,13272.6,13474,13258.7,13455.2,778442459,11399.9
05-JAN-2024,13518.3,13533.15,13364.1,13461.55,947795819,10843.78
08-JAN-2024,13492.2,13498.35,13277.1,13291.05,545720912,9170.44
09-JAN-2024,13391.25,13436.85,13231.25,13253.05,731951788,14367.69
10-JAN-2024,13270.7,13275.65,13105.85,13235.85,461921068,10428.88
11-JAN-2024,13271.55,13327.4,13223.65,13271.65,336523538,15180.86
